season,match_id,match_name,home_team,away_team,venue,city,country,current_innings,innings_id,name,fullName,runs,ballsFaced,minutes,fours,sixes,strikeRate,captain,isNotOut,runningScore,runningOver,shortText,commentary,link
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,RR,2,R Parag,Riyan Parag,20,12,16,1,2,166.66,False,False,"{'wickets': 5, 'runs': 121}",14.1,c Shahrukh Khan b Ellis,"full pace cross-seam delivery in the slot on fifth stump, Parag tries to launch this over long-off but skews it off the splice and it skies toward long-off. Shahrukh Khan comes in 20 yards off the rope and has to wait an eternity for the ball to come down before taking a simple catch.",
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,RR,2,SO Hetmyer,Shimron Hetmyer,36,18,35,1,3,200.00,False,False,"{'wickets': 7, 'runs': 186}",19.3,run out (Shahrukh Khan/Curran),"yorker is spot on fifth stump, jammed out to long-off for one. Hetmyer turns back for a suicide two, but Jurel didn't get the memo and stands pat for one. Hetmyer wanted the strike and winds up near the striker's end before giving up. The relay comes back to Curran, who takes the bails off disdainfully.",
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,RR,2,DC Jurel,Dhruv Jurel,32,15,32,3,2,213.33,False,True,{},,not out,,
2023,1359482,RR v PBKS,PBKS,RR,"Barsapara Cricket Stadium, Guwahati",Guwahati,India,RR,2,JO Holder,Jason Holder,1,1,4,0,0,100.00,False,True,{},,not out,,
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,DC,1,DA Warner,David Warner,37,32,48,7,0,115.62,True,False,"{'wickets': 3, 'runs': 67}",8.2, b Joseph,"<strong>Warner plays on and it's that angled bat that once again has brought about his downfall!</strong> On a length just outside off, was 145.5kph that delivery. He shapes for the cut, but the ball is quite close to him. Evetually, a thick inside-edge is all he gets that clatters into his stumps. Delight for Joseph, dismay for Warner.",
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,DC,1,PP Shaw,Prithvi Shaw,7,5,17,1,0,140.00,False,False,"{'wickets': 1, 'runs': 29}",2.4,c Joseph b Mohammed Shami,"<strong>Short ball does the trick for Shami!</strong> Banged in short, and hurries Shaw, whose weight was forward. He still tries to got for the pull, but can only get a top-edge with the ball ballooning straight up for mid-on to take a comfortable catch.",
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,DC,1,MR Marsh,Mitchell Marsh,4,4,10,1,0,100.00,False,False,"{'wickets': 2, 'runs': 37}",4.2, b Mohammed Shami,"<strong>Cleans him up, and Shami has his second!</strong> Length ball with a bit of shape away from the batter. He looks to push through the off-side, without any foot movement and is caught on the crease. Can only manage a thick inside-edge as the ball rattles his off and middle poles.",
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,DC,1,SN Khan,Sarfaraz Khan,30,34,66,2,0,88.23,False,False,"{'wickets': 6, 'runs': 130}",16.2,c Little b Rashid Khan,"<strong>Goes for a sweep again, gets a top-edge and Little makes no mistake at deep backward square leg.</strong> Slightly slower through the air, outside off. He lines up for that sweep, but can only mistime it this time around. The ball goes high up and Little, I think misjudged the catch initially, but held on.",
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,DC,1,RR Rossouw,Rilee Rossouw,0,1,4,0,0,0.00,False,False,"{'wickets': 4, 'runs': 67}",8.3,c Tewatia b Joseph,"<strong>Oh, what a snorter of a delivery first up, and has Tewatia pulled off a blinder at point?</strong> Yes,s he has! Banged in short with the line shoulder-high. Rossouw was not expecting this first ball. Fends at it awkwardly with the ball going to point. Tewatia dives forward and seems to have picked put a beauty. The third umpire has been called for, and he deems that has carried clearly into Tewatia's hands. Joseph bowled that at 146kph and Rossouw had no answers.",
2023,1359481,DC v GT,DC,GT,"Arun Jaitley Stadium, Delhi",Delhi,India,DC,1,Abishek Porel,Abishek Porel,20,11,25,0,2,181.81,False,False,"{'wickets': 5, 'runs': 101}",12.2, b Rashid Khan,"<strong>Takes two balls to create an impact! What a bowler, what a cricketer!</strong> Fuller, bowled at 94.3kph. Porel plays all around it, and sees his stumps in a mess. Was nowhere near it. Lost his balance, lost his footwork. Can't keep Rashid out of the game for too long.",
