comment_id,match_id,match_name,home_team,away_team,current_innings,innings_id,over,ball,runs,shortText,isBoundary,isWide,isNoball,batsman1_id,batsman1_name,batsman1_runs,batsman1_balls,bowler1_id,bowler1_name,bowler1_overs,bowler1_maidens,bowler1_runs,bowler1_wkts,batsman2_id,batsman2_name,batsman2_runs,batsman2_balls,bowler2_id,bowler2_name,bowler2_overs,bowler2_maidens,bowler2_runs,bowler2_wkts,wicket_id,wkt_batsman_name,wkt_bowler_name,wkt_batsman_runs,wkt_batsman_balls,wkt_text,isRetiredHurt,text,preText,postText
14050,1359483,KKR v RCB,KKR,RCB,KKR,1,5,4,0,"Akash Deep to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,21,18,1176959,Akash Deep,0.4,0,9,0,604527,Nitish Rana,0,3,308251.0,David Willey,2.0,1.0,3.0,2.0,,,,,,,False,swings himself off the feet trying to hit this wide length ball after stepping out. Misses by some way,,
14060,1359483,KKR v RCB,KKR,RCB,KKR,1,5,5,4,"Akash Deep to Rahmanullah Gurbaz, 4 leg byes",False,False,False,974087,Rahmanullah Gurbaz,21,19,1176959,Akash Deep,0.5,0,9,0,604527,Nitish Rana,0,3,308251.0,David Willey,2.0,1.0,3.0,2.0,,,,,,,False,"lovely touch. Shuffles across, gets slightly inside the line, and glances this length ball fine of short fine leg. Wow seems he has been denied the runs. <b>It seems it has been called leg-byes</b>",,
14080,1359483,KKR v RCB,KKR,RCB,KKR,1,5,6,1,"Akash Deep to Rahmanullah Gurbaz, 1 run",False,False,False,974087,Rahmanullah Gurbaz,22,20,1176959,Akash Deep,1.0,0,11,0,604527,Nitish Rana,0,3,308251.0,David Willey,2.0,1.0,3.0,2.0,,,,,,,False,"down the wicket, Deep gets some seam movement to deny him an aggressive shot. They do get in a single, though",,
14070,1359483,KKR v RCB,KKR,RCB,KKR,1,5,6,1,"Akash Deep to Rahmanullah Gurbaz, 1 wide",False,True,False,974087,Rahmanullah Gurbaz,21,19,1176959,Akash Deep,0.5,0,10,0,604527,Nitish Rana,0,3,308251.0,David Willey,2.0,1.0,3.0,2.0,,,,,,,False,bouncer. Again a just too high. Called wide,,
15010,1359483,KKR v RCB,KKR,RCB,KKR,1,6,1,0,"Willey to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,22,21,308251,David Willey,2.1,1,3,2,604527,Nitish Rana,0,3,1176959.0,Akash Deep,1.0,0.0,11.0,0.0,,,,,,,False,"wobble seam. On a length, middle and off. Left alone to seam away through to the keeper",<p>Willey to bowl a third over</p>,
15020,1359483,KKR v RCB,KKR,RCB,KKR,1,6,2,0,"Willey to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,22,22,308251,David Willey,2.2,1,3,2,604527,Nitish Rana,0,3,1176959.0,Akash Deep,1.0,0.0,11.0,0.0,,,,,,,False,"this one swings in, defended in front of middle and leg",,
15030,1359483,KKR v RCB,KKR,RCB,KKR,1,6,3,4,"Willey to Rahmanullah Gurbaz, FOUR",True,False,False,974087,Rahmanullah Gurbaz,26,23,308251,David Willey,2.3,1,7,2,604527,Nitish Rana,0,3,1176959.0,Akash Deep,1.0,0.0,11.0,0.0,,,,,,,False,quick to pounce on a short ball and pull it over midwicket for a four. Just the transfer of weight back as he swivels,,
15040,1359483,KKR v RCB,KKR,RCB,KKR,1,6,4,1,"Willey to Rahmanullah Gurbaz, 1 run",False,False,False,974087,Rahmanullah Gurbaz,27,24,308251,David Willey,2.4,1,8,2,604527,Nitish Rana,0,3,1176959.0,Akash Deep,1.0,0.0,11.0,0.0,,,,,,,False,"pitched outside leg, angles towards the stumps, Gurbaz drops and runs",,
15050,1359483,KKR v RCB,KKR,RCB,KKR,1,6,5,1,"Willey to Rana, 1 run",False,False,False,604527,Nitish Rana,1,4,308251,David Willey,2.5,1,9,2,974087,Rahmanullah Gurbaz,27,24,1176959.0,Akash Deep,1.0,0.0,11.0,0.0,,,,,,,False,their field placements have been on point. Rana cuts to find out that deep third is square to allow him just the single,,
15060,1359483,KKR v RCB,KKR,RCB,KKR,1,6,6,0,"Willey to Rahmanullah Gurbaz, no run",False,False,False,974087,Rahmanullah Gurbaz,27,25,308251,David Willey,3.0,1,9,2,604527,Nitish Rana,1,4,1176959.0,Akash Deep,1.0,0.0,11.0,0.0,,,,,,,False,this one seams back in. Extra bounce too. Hits Gurbaz in the midriff,,
16010,1359483,KKR v RCB,KKR,RCB,KKR,1,7,1,0,"Bracewell to Rana, OUT",False,False,False,604527,Nitish Rana,1,5,326968,Michael Bracewell,0.1,0,0,1,974087,Rahmanullah Gurbaz,27,25,308251.0,David Willey,3.0,1.0,9.0,2.0,604527.0,Nitish Rana,Michael Bracewell,1.0,5.0,N Rana c &dagger;Karthik b Bracewell 1 (17m 5b 0x4 0x6) SR: 20.00,False,"big appeal for a catch as Rana reverse-sweeps first ball. Not given on the field, and they review after much discussion. Replays show this has come straight off the glove. Rana shapes up fort the shot early, Bracewell gets some bounce to go past the top of the bat and take the glove to lob up for catch for Karthik","<p>Powerplay done, and here is Michael Bracewell</p>",
16020,1359483,KKR v RCB,KKR,RCB,KKR,1,7,2,0,"Bracewell to Singh, no run",False,False,False,723105,Rinku Singh,0,1,326968,Michael Bracewell,0.2,0,0,1,974087,Rahmanullah Gurbaz,27,25,308251.0,David Willey,3.0,1.0,9.0,2.0,,,,,,,False,"offbreak, on a length, punched back to Bracewell",<p>In comes Rinku Singh</p>,
16030,1359483,KKR v RCB,KKR,RCB,KKR,1,7,3,0,"Bracewell to Singh, no run",False,False,False,723105,Rinku Singh,0,2,326968,Michael Bracewell,0.3,0,0,1,974087,Rahmanullah Gurbaz,27,25,308251.0,David Willey,3.0,1.0,9.0,2.0,,,,,,,False,some turn from a length from middle and off. Rinku defends to cover,,
16040,1359483,KKR v RCB,KKR,RCB,KKR,1,7,4,1,"Bracewell to Singh, 1 run",False,False,False,723105,Rinku Singh,1,3,326968,Michael Bracewell,0.4,0,1,1,974087,Rahmanullah Gurbaz,27,25,308251.0,David Willey,3.0,1.0,9.0,2.0,,,,,,,False,"this one goes straight on, pushed to long-on for one",,
