season,match_id,match_name,home_team,away_team,bowling_team,venue,city,country,innings_id,name,fullName,overs,maidens,conceded,wickets,economyRate,dots,foursConceded,sixesConceded,wides,noballs,captain,href
2023,1359480,CSK v LSG,CSK,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,2,MJ Santner,Mitchell Santner,4,0,21,1,5.25,9,0,1,0,0,False,https://www.espncricinfo.com/ci/content/player/502714.html
2023,1359480,CSK v LSG,CSK,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,2,RS Hangargekar,Rajvardhan Hangargekar,2,0,24,0,12.00,4,2,1,3,0,False,https://www.espncricinfo.com/ci/content/player/1175429.html
2023,1359480,CSK v LSG,CSK,LSG,CSK,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai,India,2,RA Jadeja,Ravindra Jadeja,1,0,14,0,14.00,2,0,2,0,0,False,https://www.espncricinfo.com/ci/content/player/234675.html
2023,1359479,RCB v MI,MI,RCB,RCB,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,India,1,Mohammed Siraj,Mohammed Siraj,4,0,21,1,5.25,16,2,0,6,0,False,https://www.espncricinfo.com/ci/content/player/940973.html
2023,1359479,RCB v MI,MI,RCB,RCB,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,India,1,RJW Topley,Reece Topley,2,0,14,1,7.00,7,3,0,0,0,False,https://www.espncricinfo.com/ci/content/player/461632.html
2023,1359479,RCB v MI,MI,RCB,RCB,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,India,1,Akash Deep,Akash Deep,3,0,29,1,9.66,7,2,2,0,0,False,https://www.espncricinfo.com/ci/content/player/1176959.html
2023,1359479,RCB v MI,MI,RCB,RCB,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,India,1,HV Patel,Harshal Patel,4,0,43,1,10.75,6,3,2,1,1,False,https://www.espncricinfo.com/ci/content/player/390481.html
2023,1359479,RCB v MI,MI,RCB,RCB,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,India,1,KV Sharma,Karn Sharma,4,0,32,2,8.00,7,1,2,1,0,False,https://www.espncricinfo.com/ci/content/player/30288.html
2023,1359479,RCB v MI,MI,RCB,RCB,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,India,1,MG Bracewell,Michael Bracewell,2,0,16,1,8.00,6,3,0,0,0,False,https://www.espncricinfo.com/ci/content/player/326968.html
2023,1359479,RCB v MI,MI,RCB,RCB,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,India,1,GJ Maxwell,Glenn Maxwell,1,0,16,0,16.00,0,1,1,1,0,False,https://www.espncricinfo.com/ci/content/player/325026.html
2023,1359479,RCB v MI,MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,India,2,JP Behrendorff,Jason Behrendorff,3,0,37,0,12.33,6,3,3,0,0,False,https://www.espncricinfo.com/ci/content/player/272477.html
2023,1359479,RCB v MI,MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,India,2,Arshad Khan,Arshad Khan,2.2,0,28,1,12.00,7,2,2,4,0,False,https://www.espncricinfo.com/ci/content/player/1244751.html
2023,1359479,RCB v MI,MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,India,2,JC Archer,Jofra Archer,4,0,33,0,8.25,10,2,2,0,0,False,https://www.espncricinfo.com/ci/content/player/669855.html
2023,1359479,RCB v MI,MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,India,2,PP Chawla,Piyush Chawla,4,0,26,0,6.50,11,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/32966.html
2023,1359479,RCB v MI,MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,India,2,C Green,Cameron Green,2,0,30,1,15.00,4,2,3,0,0,False,https://www.espncricinfo.com/ci/content/player/1076713.html
2023,1359479,RCB v MI,MI,RCB,MI,"M.Chinnaswamy Stadium, Bengaluru",Bengaluru,India,2,HR Shokeen,Hrithik Shokeen,1,0,17,0,17.00,0,0,2,0,0,False,https://www.espncricinfo.com/ci/content/player/1175423.html
2023,1359478,SRH v RR,RR,SRH,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,1,B Kumar,Bhuvneshwar Kumar,3,0,36,0,12.00,6,4,2,1,0,True,https://www.espncricinfo.com/ci/content/player/326016.html
2023,1359478,SRH v RR,RR,SRH,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,1,Fazalhaq Farooqi,Fazalhaq Farooqi,4,0,41,2,10.25,11,7,0,0,0,False,https://www.espncricinfo.com/ci/content/player/974175.html
2023,1359478,SRH v RR,RR,SRH,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,1,Washington Sundar,Washington Sundar,3,0,32,0,10.66,5,1,3,0,0,False,https://www.espncricinfo.com/ci/content/player/719715.html
2023,1359478,SRH v RR,RR,SRH,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,1,T Natarajan,T Natarajan,3,0,23,2,7.66,7,4,0,0,0,False,https://www.espncricinfo.com/ci/content/player/802575.html
2023,1359478,SRH v RR,RR,SRH,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,1,AU Rashid,Adil Rashid,4,0,33,0,8.25,6,1,2,0,0,False,https://www.espncricinfo.com/ci/content/player/244497.html
2023,1359478,SRH v RR,RR,SRH,SRH,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,1,Umran Malik,Umran Malik,3,0,32,1,10.66,4,4,1,1,0,False,https://www.espncricinfo.com/ci/content/player/1246528.html
2023,1359478,SRH v RR,RR,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,2,TA Boult,Trent Boult,4,1,21,2,5.25,15,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/277912.html
2023,1359478,SRH v RR,RR,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,2,KM Asif,KM Asif,3,0,15,0,5.00,9,1,0,1,0,False,https://www.espncricinfo.com/ci/content/player/1083030.html
2023,1359478,SRH v RR,RR,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,2,JO Holder,Jason Holder,3,0,16,1,5.33,10,1,1,0,0,False,https://www.espncricinfo.com/ci/content/player/391485.html
2023,1359478,SRH v RR,RR,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,2,R Ashwin,Ravichandran Ashwin,4,0,27,1,6.75,10,1,1,2,0,False,https://www.espncricinfo.com/ci/content/player/26421.html
2023,1359478,SRH v RR,RR,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,2,YS Chahal,Yuzvendra Chahal,4,0,17,4,4.25,11,0,0,0,0,False,https://www.espncricinfo.com/ci/content/player/430246.html
2023,1359478,SRH v RR,RR,SRH,RR,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Hyderabad,India,2,NA Saini,Navdeep Saini,2,0,34,0,17.00,3,3,2,0,3,False,https://www.espncricinfo.com/ci/content/player/700167.html
2023,1359477,LSG v DC,LSG,DC,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,1,KK Ahmed,Khaleel Ahmed,4,0,30,2,7.50,15,3,2,1,0,False,https://www.espncricinfo.com/ci/content/player/942645.html
2023,1359477,LSG v DC,LSG,DC,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,1,Mukesh Kumar,Mukesh Kumar,4,0,34,0,8.50,5,0,2,1,0,False,https://www.espncricinfo.com/ci/content/player/926851.html
2023,1359477,LSG v DC,LSG,DC,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,1,C Sakariya,Chetan Sakariya,4,0,53,2,13.25,8,1,6,3,0,False,https://www.espncricinfo.com/ci/content/player/1131754.html
2023,1359477,LSG v DC,LSG,DC,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,1,AR Patel,Axar Patel,4,0,38,1,9.50,8,1,3,0,0,False,https://www.espncricinfo.com/ci/content/player/554691.html
2023,1359477,LSG v DC,LSG,DC,DC,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,1,Kuldeep Yadav,Kuldeep Yadav,4,0,35,1,8.75,7,0,3,0,0,False,https://www.espncricinfo.com/ci/content/player/559235.html
2023,1359477,LSG v DC,LSG,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,2,KR Mayers,Kyle Mayers,1,0,7,0,7.00,3,1,0,1,0,False,https://www.espncricinfo.com/ci/content/player/348056.html
2023,1359477,LSG v DC,LSG,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,2,JD Unadkat,Jaydev Unadkat,3,0,39,0,13.00,3,5,0,2,0,False,https://www.espncricinfo.com/ci/content/player/390484.html
2023,1359477,LSG v DC,LSG,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,2,K Gowtham,Krishnappa Gowtham,4,0,23,0,5.75,9,2,0,1,0,False,https://www.espncricinfo.com/ci/content/player/424377.html
2023,1359477,LSG v DC,LSG,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,2,Avesh Khan,Avesh Khan,4,0,29,2,7.25,12,3,1,0,0,False,https://www.espncricinfo.com/ci/content/player/694211.html
2023,1359477,LSG v DC,LSG,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,2,MA Wood,Mark Wood,4,0,14,5,3.50,17,1,0,1,1,False,https://www.espncricinfo.com/ci/content/player/351588.html
2023,1359477,LSG v DC,LSG,DC,LSG,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow,India,2,Ravi Bishnoi,Ravi Bishnoi,4,0,31,2,7.75,8,3,1,0,0,False,https://www.espncricinfo.com/ci/content/player/1175441.html
2023,1359476,PBKS v KKR,PBKS,KKR,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,1,UT Yadav,Umesh Yadav,4,0,27,1,6.75,11,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/376116.html
2023,1359476,PBKS v KKR,PBKS,KKR,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,1,TG Southee,Tim Southee,4,0,54,2,13.50,7,6,3,0,0,False,https://www.espncricinfo.com/ci/content/player/232364.html
2023,1359476,PBKS v KKR,PBKS,KKR,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,1,SP Narine,Sunil Narine,4,0,40,1,10.00,8,3,2,1,0,False,https://www.espncricinfo.com/ci/content/player/230558.html
2023,1359476,PBKS v KKR,PBKS,KKR,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,1,CV Varun,Varun Chakravarthy,4,0,26,1,6.50,10,2,1,1,0,False,https://www.espncricinfo.com/ci/content/player/1108375.html
2023,1359476,PBKS v KKR,PBKS,KKR,KKR,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,1,SN Thakur,Shardul Thakur,4,0,43,0,10.75,7,4,2,0,1,False,https://www.espncricinfo.com/ci/content/player/475281.html
2023,1359476,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,2,SM Curran,Sam Curran,3,0,38,1,12.66,4,3,3,0,0,False,https://www.espncricinfo.com/ci/content/player/662973.html
2023,1359476,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,2,Arshdeep Singh,Arshdeep Singh,3,0,19,3,6.33,10,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/1125976.html
2023,1359476,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,2,NT Ellis,Nathan Ellis,3,0,27,1,9.00,8,2,1,0,2,False,https://www.espncricinfo.com/ci/content/player/826915.html
2023,1359476,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,2,Sikandar Raza,Sikandar Raza,3,0,25,1,8.33,5,3,0,1,0,False,https://www.espncricinfo.com/ci/content/player/299572.html
2023,1359476,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,2,R Dhawan,Rishi Dhawan,1,0,15,0,15.00,2,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/290727.html
2023,1359476,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,2,RD Chahar,Rahul Chahar,2,0,12,1,6.00,5,0,1,0,0,False,https://www.espncricinfo.com/ci/content/player/1064812.html
2023,1359476,PBKS v KKR,PBKS,KKR,PBKS,"Punjab Cricket Association IS Bindra Stadium, Mohali, Chandigarh",Chandigarh,India,2,Harpreet Brar,Harpreet Brar,1,0,7,0,7.00,3,1,0,0,0,False,https://www.espncricinfo.com/ci/content/player/1168641.html
2023,1359475,GT v CSK,CSK,GT,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,Mohammed Shami,Mohammed Shami,4,0,29,2,7.25,13,2,2,0,1,False,https://www.espncricinfo.com/ci/content/player/481896.html
2023,1359475,GT v CSK,CSK,GT,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,HH Pandya,Hardik Pandya,3,0,28,0,9.33,6,2,2,0,0,True,https://www.espncricinfo.com/ci/content/player/625371.html
2023,1359475,GT v CSK,CSK,GT,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,JB Little,Josh Little,4,0,41,1,10.25,10,4,3,0,0,False,https://www.espncricinfo.com/ci/content/player/928067.html
2023,1359475,GT v CSK,CSK,GT,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,Rashid Khan,Rashid Khan,4,0,26,2,6.50,10,2,1,0,0,False,https://www.espncricinfo.com/ci/content/player/793463.html
2023,1359475,GT v CSK,CSK,GT,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,AS Joseph,Alzarri Joseph,4,0,33,2,8.25,8,0,3,0,0,False,https://www.espncricinfo.com/ci/content/player/670031.html
2023,1359475,GT v CSK,CSK,GT,GT,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,1,Yash Dayal,Yash Dayal,1,0,14,0,14.00,2,0,2,0,0,False,https://www.espncricinfo.com/ci/content/player/1159720.html
2023,1359475,GT v CSK,CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,2,DL Chahar,Deepak Chahar,4,0,29,0,7.25,9,1,2,0,0,False,https://www.espncricinfo.com/ci/content/player/447261.html
2023,1359475,GT v CSK,CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,2,TU Deshpande,Tushar Deshpande,3.2,0,51,1,15.30,5,4,4,1,1,False,https://www.espncricinfo.com/ci/content/player/822553.html
2023,1359475,GT v CSK,CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,2,RS Hangargekar,Rajvardhan Hangargekar,4,0,36,3,9.00,10,4,1,3,1,False,https://www.espncricinfo.com/ci/content/player/1175429.html
2023,1359475,GT v CSK,CSK,GT,CSK,"Narendra Modi Stadium, Motera, Ahmedabad",Ahmedabad,India,2,MJ Santner,Mitchell Santner,4,0,32,0,8.00,7,5,0,0,0,False,https://www.espncricinfo.com/ci/content/player/502714.html
